slot,request_model_id,identity_level,admission_status,generation_status,actual_elapsed_s,client_query_calls,actual_OS_exit,artifact_file_count,file_contract_status,source_only_rebuild_status,STEP_readback_status,STEP_raw_results,all_printed_parts_envelope_status,XML_parse_status,joint_topology_actuators,dynamics,motion,robustness,missing_or_failure_reason,evidence_path,evidence_sha256,library_cost_estimate,actual_billing,query_usage,independent_backend_attestation
model_A,,gateway_declared,NOT_ADMITTED,NOT_STARTED,,0,,0,NOT_RUN,NOT_RUN,NOT_RUN,,NOT_RUN,NOT_RUN,NA,NA,NA,NA,new admission did not succeed,model_comparison\records\pilot_20260923\restored_20260923_v1\admission_v2.json,6a96564f23c349ff8b3a3dd8ded3ae7d5c2d78d483f1fdc8ab687b91d3700a67,,not_observed,[],not_observed
model_B,,gateway_declared,NOT_ADMITTED,NOT_STARTED,,0,,0,NOT_RUN,NOT_RUN,NOT_RUN,,NOT_RUN,NOT_RUN,NA,NA,NA,NA,new admission did not succeed,model_comparison\records\pilot_20260923\restored_20260923_v1\admission_v2.json,6a96564f23c349ff8b3a3dd8ded3ae7d5c2d78d483f1fdc8ab687b91d3700a67,,not_observed,[],not_observed
model_C,,gateway_declared,NOT_ADMITTED,NOT_STARTED,,0,,0,NOT_RUN,NOT_RUN,NOT_RUN,,NOT_RUN,NOT_RUN,NA,NA,NA,NA,new admission did not succeed,model_comparison\records\pilot_20260923\restored_20260923_v1\admission_v2.json,6a96564f23c349ff8b3a3dd8ded3ae7d5c2d78d483f1fdc8ab687b91d3700a67,,not_observed,[],not_observed
